Ni,Ti,Hf,Co,Cu,Zr,Fe,en_p,ea,valence,pettifor,rad_ionic,rad_slater,rad_clementi,?H,?S,size_diff,rad_Waber,atom_number,atom_mass,T,a,b,c,beta,ref,ac,α,β,γ,λ1,λ2,λ3,ΔV/V,εRMS,Ms
49.9,50.1,0,0,0,0,0,1.72962,0.616423,6.994,0.9397,0.71505,1.37505,1.62527,-34.99986,5.762809031,0.018181121,0.407164,24.994,52.7884,25,4.67,4.14,2.91,97.55,s. qiu2009,,,,,,,,,,
50.7,49.3,0,0,0,0,0,1.73266,0.625039,7.042,0.9421,0.71465,1.37465,1.62311,-34.99314,5.762010861,0.018184665,0.405852,25.042,52.8812,-28,2.8934,4.6354,4.127,97.18,"J, khalil2003",3.0166,0.959159318,1.086561948,0.967390335,1.086561948,0.900928174,1.152466279,0.000294765,0.201 ,
50.7,49.3,0,0,0,0,0,1.73266,0.625039,7.042,0.9421,0.71465,1.37465,1.62311,-34.99314,5.762010861,0.018184665,0.405852,25.042,52.8812,21,2.893,4.633,4.134,96.96,"J, khalil2003",3.0173,0.958804229,1.085747429,0.968806361,1.085747429,0.903312453,1.149650363,0.001114063,0.198 ,
50.7,49.3,0,0,0,0,0,1.73266,0.625039,7.042,0.9421,0.71465,1.37465,1.62311,-34.99314,5.762010861,0.018184665,0.405852,25.042,52.8812,25,2.8964,4.6234,4.1351,96.76,"J, khalil2003",3.0176,0.959835631,1.083389943,0.968967806,1.083389943,0.905682621,1.145379769,0.000601673,0.192 ,
50,50,0,0,0,0,0,1.73,0.6175,7,0.94,0.715,1.375,1.625,-35,5.762825659,0.018181818,0.407,25,52.8,25,4.646,4.108,2.898,97.78,Guowu Ren2016,,,,,,,,,,
49.75,50.25,0,0,0,0,0,1.72905,0.6148075,6.985,0.93925,0.715125,1.375125,1.625675,-34.999125,5.762721734,0.018179938,0.40741,24.985,52.771,23,2.87,4.11,4.6,97.4,Dautovich1965,,,,,,,,,,
50,50,0,0,0,0,0,1.73,0.6175,7,0.94,0.715,1.375,1.625,-35,5.762825659,0.018181818,0.407,25,52.8,20,2.904,4.121,4.649,97.9,Zijderveld 1968,,,,,,,,,,
49.75,50.25,0,0,0,0,0,1.72905,0.6148075,6.985,0.93925,0.715125,1.375125,1.625675,-34.999125,5.762721734,0.018179938,0.40741,24.985,52.771,-192,2.874,4.113,4.63,97,Otsuka1971,,,,,,,,,,
49.75,50.25,0,0,0,0,0,1.72905,0.6148075,6.985,0.93925,0.715125,1.375125,1.625675,-34.999125,5.762721734,0.018179938,0.40741,24.985,52.771,-53,2.88,4.148,4.621,96.4,Otsuka1971,,,,,,,,,,
49.75,50.25,0,0,0,0,0,1.72905,0.6148075,6.985,0.93925,0.715125,1.375125,1.625675,-34.999125,5.762721734,0.018179938,0.40741,24.985,52.771,-178,2.872,4.124,4.632,96.9,Otsuka1971,,,,,,,,,,
49.8,50.2,0,0,0,0,0,1.72924,0.615346,6.988,0.9394,0.7151,1.3751,1.62554,-34.99944,5.762759147,0.018180351,0.407328,24.988,52.7768,20,2.893,4.12,4.657,97.6,Monasevich1979 ,,,,,,,,,,
50.3,49.7,0,0,0,0,0,1.73114,0.620731,7.018,0.9409,0.71485,1.37485,1.62419,-34.99874,5.762676006,0.018183475,0.406508,25.018,52.8348,20,2.889,4.12,4.622,96.8,Monasevich1980,,,,,,,,,,
50,50,0,0,0,0,0,1.73,0.6175,7,0.94,0.715,1.375,1.625,-35,5.762825659,0.018181818,0.407,25,52.8,20,2.909,4.141,4.639,96.8,Tadaki1980,,,,,,,,,,
49.2,50.8,0,0,0,0,0,1.72696,0.608884,6.952,0.9376,0.7154,1.3754,1.62716,-34.99104,5.761761422,0.018174204,0.408312,24.952,52.7072,-263,2.884,4.11,4.665,98.1,Buhrer1983,,,,,,,,,,
51,49,0,0,0,0,0,1.7338,0.62827,7.06,0.943,0.7145,1.3745,1.6223,-34.986,5.761162748,0.018184794,0.40536,25.06,52.916,-45,2.887,4.114,4.634,96.7,Savvinov1984,,,,,,,,,,
51,49,0,0,0,0,0,1.7338,0.62827,7.06,0.943,0.7145,1.3745,1.6223,-34.986,5.761162748,0.018184794,0.40536,25.06,52.916,-150,2.898,4.143,4.653,97.3,Savvinov1984,,,,,,,,,,
49.2,50.8,0,0,0,0,0,1.72696,0.608884,6.952,0.9376,0.7154,1.3754,1.62716,-34.99104,5.761761422,0.018174204,0.408312,24.952,52.7072,20,2.898,4.108,4.646,97.78,Kudoh1985,,,,,,,,,,
48.5,51.5,0,0,0,0,0,1.7243,0.601345,6.91,0.9355,0.71575,1.37575,1.62905,-34.9685,5.759083798,0.018163727,0.40946,24.91,52.626,20,2.9,4.11,4.66,97.8,Khachin1992,,,,,,,,,,
50,50,0,0,0,0,0,1.73,0.6175,7,0.94,0.715,1.375,1.625,-35,5.762825659,0.018181818,0.407,25,52.8,20,2.89,4.12,4.64,97.3,Khachin1992,,,,,,,,,,
50.5,49.5,0,0,0,0,0,1.7319,0.622885,7.03,0.9415,0.71475,1.37475,1.62365,-34.9965,5.762409952,0.018184215,0.40618,25.03,52.858,-50,2.89,4.15,4.64,97.1,Khachin1992,,,,,,,,,,
50.1,49.9,0,0,0,0,0,1.73038,0.618577,7.006,0.9403,0.71495,1.37495,1.62473,-34.99986,5.762809031,0.018182443,0.406836,25.006,52.8116,21,2.904,4.141,4.654,97.1,Mironov1994,,,,,,,,,,
50.1,49.9,0,0,0,0,0,1.73038,0.618577,7.006,0.9403,0.71495,1.37495,1.62473,-34.99986,5.762809031,0.018182443,0.406836,25.006,52.8116,74,2.902,4.155,4.632,96.6,Mironov1994,,,,,,,,,,
50.5,49.5,0,0,0,0,0,1.7319,0.622885,7.03,0.9415,0.71475,1.37475,1.62365,-34.9965,5.762409952,0.018184215,0.40618,25.03,52.858,20,2.886,4.138,4.629,96.7,Gundyrev1999,,,,,,,,,,
50.5,49.5,0,0,0,0,0,1.7319,0.622885,7.03,0.9415,0.71475,1.37475,1.62365,-34.9965,5.762409952,0.018184215,0.40618,25.03,52.858,-20,2.883,4.132,4.636,96.9,Gundyrev1999,,,,,,,,,,
50.5,49.5,0,0,0,0,0,1.7319,0.622885,7.03,0.9415,0.71475,1.37475,1.62365,-34.9965,5.762409952,0.018184215,0.40618,25.03,52.858,-71,2.8815,4.1232,4.6256,97,Lukas2002,,,,,,,,,,
50,50,0,0,0,0,0,1.73,0.6175,7,0.94,0.715,1.375,1.625,-35,5.762825659,0.018181818,0.407,25,52.8,20,2.909,4.1135,4.657,97.9,Prokoshkin2004,,,,,,,,,,
50.7,49.3,0,0,0,0,0,1.73266,0.625039,7.042,0.9421,0.71465,1.37465,1.62311,-34.99314,5.762010861,0.018184665,0.405852,25.042,52.8812,20,2.882,4.143,4.614,96.35,Prokoshkin2004,,,,,,,,,,
50,50,0,0,0,0,0,1.73,0.6175,7,0.94,0.715,1.375,1.625,-35,5.762825659,0.018181818,0.407,25,52.8,50,2.91,4.123,4.654,97.8,Prokoshkin2004,,,,,,,,,,
50.7,49.3,0,0,0,0,0,1.73266,0.625039,7.042,0.9421,0.71465,1.37465,1.62311,-34.99314,5.762010861,0.018184665,0.405852,25.042,52.8812,-12,2.882,4.128,4.623,96.7,Prokoshkin2004,,,,,,,,,,
50.7,49.3,0,0,0,0,0,1.73266,0.625039,7.042,0.9421,0.71465,1.37465,1.62311,-34.99314,5.762010861,0.018184665,0.405852,25.042,52.8812,-28,2.8934,4.127,4.6354,97.18,Khalil2004,,,,,,,,,,
50.7,49.3,0,0,0,0,0,1.73266,0.625039,7.042,0.9421,0.71465,1.37465,1.62311,-34.99314,5.762010861,0.018184665,0.405852,25.042,52.8812,21,2.893,4.134,4.633,96.96,Khalil2004,,,,,,,,,,
50.7,49.3,0,0,0,0,0,1.73266,0.625039,7.042,0.9421,0.71465,1.37465,1.62311,-34.99314,5.762010861,0.018184665,0.405852,25.042,52.8812,25,2.8964,4.1351,4.6234,96.76,Khalil2004,,,,,,,,,,
