Ni,Ti,Hf,Co,Cu,Zr,en_p,ea,valence,pettifor,rad_ionic,rad_slater,rad_clementi,?H,?S,T,a,b,c,beta,ref,,,,,,,,,
0,0,0,0,0,100,1.33,0.426,4,0.76,0.84,1.55,2.06,0,0,25,5.1462,5.2042,5.312,99.243,Gaillard-Allemand2002,,,,,,,,,
25,16.67,16.67,10,15,16.67,1.651473,0.6234835,3.0004,0.9440775,0.773747,1.42515,1.72553,-37.32652244,14.61068271,25,3.135,4.128,4.975,102.5,Chih-Hsuan2018,,,,,,,,,
50,35,0,0,0,15,1.6985,0.66955,3,0.9355,0.73,1.3975,1.67,-49.49,8.302188563,25,3.055,4.117,4.89,102.31,WC-Kim2019,,,,,,,,,
47,35,0,0,3,15,1.6979,0.67171,3,0.9388,0.7312,1.3975,1.6688,-47.7044,9.245692554,25,3.062,4.123,4.862,101.1,WC-Kim2019,,,,,,,,,
45,35,0,0,5,15,1.6975,0.6731,3,0.941,0.732,1.3975,1.668,-46.53,9.653558483,25,3.066,4.128,4.844,100.55,WC-Kim2019,,,,,,,,,
40,35,0,0,10,15,1.6965,0.6767,3,0.9465,0.734,1.3975,1.666,-43.65,10.38236144,25,3.075,4.138,4.801,98.79,WC-Kim2019,,,,,,,,,
35,35,0,0,15,15,1.6955,0.6803,3,0.952,0.736,1.3975,1.664,-40.85,10.84155147,25,3.084,4.148,4.757,97.09,WC-Kim2019,,,,,,,,,
25,20,15,0,25,15,1.6605,0.6757,3,0.96075,0.7535,1.42,1.708,-33.33,13.17079569,-100,3.331,4.216,4.781,100.3,Shaohui2021,,,,,,,,,
25,16.67,16.67,0,25,16.67,1.653473,0.6801,3.0004,0.9600775,0.756747,1.42515,1.71853,-33.61912244,13.21182796,25,3.172,4.138,5.007,102.65,Shan-Hsiu2019,,,,,,,,,
25,16.67,16.67,0,25,16.67,1.653473,0.6801,3.0004,0.9600775,0.756747,1.42515,1.71853,-33.61912244,13.21182796,25,3.155,4.167,4.967,100.95,Shan-Hsiu2019,,,,,,,,,
35,25,12.5,0,15,12.5,1.67325,0.6618,3,0.950875,0.74475,1.4125,1.6965,-37.81,12.62430781,25,3.107,4.135,4.91,101.34,Shan-Hsiu2021,,,,,,,,,
35,20,15,0,15,15,1.6625,0.6685,3,0.9497,0.7495,1.42,1.712,-38.63,12.82874576,25,3.1464,4.1286,4.9308,101.59,Shan-Hsiu2023,,,,,,,,,
35,35,0,0,15,15,1.6955,0.6803,3,0.952,0.736,1.3975,1.664,-40.85,10.84155147,25,3.084,4.148,4.757,97.1,yenting2022,,,,,,,,,
25,20,15,0,25,15,1.6605,0.6757,3,0.9547,0.7535,1.42,1.708,-33.33,13.17079569,25,3.331,4.216,4.781,100.3,yenting2022,,,,,,,,,
49.9,50.1,0,0,0,0,1.72962,0.6164,3.002,0.9397,0.71505,1.37505,1.62527,-34.99986,5.762809031,25,4.67,4.14,2.91,97.55,s. qiu2009,,,,,,,,,
50.7,49.3,0,0,0,0,1.73266,0.625039,2.986,0.9421,0.71465,1.37465,1.62311,-34.99314,5.762010861,-28,2.8934,4.6354,4.127,97.18,"J, khalil2003",,,,,,,,,
50.7,49.3,0,0,0,0,1.73266,0.625039,2.986,0.9421,0.71465,1.37465,1.62311,-34.99314,5.762010861,21,2.893,4.633,4.134,96.96,"J, khalil2003",,,,,,,,,
50.7,49.3,0,0,0,0,1.73266,0.625039,2.986,0.9421,0.71465,1.37465,1.62311,-34.99314,5.762010861,25,2.8964,4.6234,4.1351,96.76,"J, khalil2003",,,,,,,,,
50,50,0,0,0,0,1.73,0.6175,3,0.94,0.715,1.375,1.625,-35,5.762825659,25,4.646,4.108,2.898,97.78,Guowu Ren2016,,,,,,,,,
49.75,50.25,0,0,0,0,1.72905,0.6148075,3.005,0.93925,0.715125,1.375125,1.625675,-34.999125,5.762721734,23,2.87,4.11,4.6,97.4,Dautovich1965,,,,,,,,,
50,50,0,0,0,0,1.73,0.6175,3,0.94,0.715,1.375,1.625,-35,5.762825659,20,2.904,4.121,4.649,97.9,Zijderveld 1968,,,,,,,,,
49.75,50.25,0,0,0,0,1.72905,0.6148075,3.005,0.93925,0.715125,1.375125,1.625675,-34.999125,5.762721734,-192,2.874,4.113,4.63,97,Otsuka1971,,,,,,,,,
49.75,50.25,0,0,0,0,1.72905,0.6148075,3.005,0.93925,0.715125,1.375125,1.625675,-34.999125,5.762721734,-53,2.88,4.148,4.621,96.4,Otsuka1971,,,,,,,,,
49.75,50.25,0,0,0,0,1.72905,0.6148075,3.005,0.93925,0.715125,1.375125,1.625675,-34.999125,5.762721734,-178,2.872,4.124,4.632,96.9,Otsuka1971,,,,,,,,,
49.8,50.2,0,0,0,0,1.72924,0.615346,3.004,0.9394,0.7151,1.3751,1.62554,-34.99944,5.762759147,20,2.893,4.12,4.657,97.6,Monasevich1979 ,,,,,,,,,
50.3,49.7,0,0,0,0,1.73114,0.620731,2.994,0.9409,0.71485,1.37485,1.62419,-34.99874,5.762676006,20,2.889,4.12,4.622,96.8,Monasevich1980,,,,,,,,,
50,50,0,0,0,0,1.73,0.6175,3,0.94,0.715,1.375,1.625,-35,5.762825659,20,2.909,4.141,4.639,96.8,Tadaki1980,,,,,,,,,
49.2,50.8,0,0,0,0,1.72696,0.608884,3.016,0.9376,0.7154,1.3754,1.62716,-34.99104,5.761761422,-263,2.884,4.11,4.665,98.1,Buhrer1983,,,,,,,,,
51,49,0,0,0,0,1.7338,0.62827,2.98,0.943,0.7145,1.3745,1.6223,-34.986,5.761162748,-45,2.887,4.114,4.634,96.7,Savvinov1984,,,,,,,,,
51,49,0,0,0,0,1.7338,0.62827,2.98,0.943,0.7145,1.3745,1.6223,-34.986,5.761162748,-150,2.898,4.143,4.653,97.3,Savvinov1984,,,,,,,,,
49.2,50.8,0,0,0,0,1.72696,0.608884,3.016,0.9376,0.7154,1.3754,1.62716,-34.99104,5.761761422,20,2.898,4.108,4.646,97.78,Kudoh1985,,,,,,,,,
48.5,51.5,0,0,0,0,1.7243,0.601345,3.03,0.9355,0.71575,1.37575,1.62905,-34.9685,5.759083798,20,2.9,4.11,4.66,97.8,Khachin1992,,,,,,,,,
50,50,0,0,0,0,1.73,0.6175,3,0.94,0.715,1.375,1.625,-35,5.762825659,20,2.89,4.12,4.64,97.3,Khachin1992,,,,,,,,,
50.5,49.5,0,0,0,0,1.7319,0.622885,2.99,0.9415,0.71475,1.37475,1.62365,-34.9965,5.762409952,-50,2.89,4.15,4.64,97.1,Khachin1992,,,,,,,,,
50.1,49.9,0,0,0,0,1.73038,0.618577,2.998,0.9403,0.71495,1.37495,1.62473,-34.99986,5.762809031,21,2.904,4.141,4.654,97.1,Mironov1994,,,,,,,,,
50.1,49.9,0,0,0,0,1.73038,0.618577,2.998,0.9403,0.71495,1.37495,1.62473,-34.99986,5.762809031,74,2.902,4.155,4.632,96.6,Mironov1994,,,,,,,,,
50.5,49.5,0,0,0,0,1.7319,0.622885,2.99,0.9415,0.71475,1.37475,1.62365,-34.9965,5.762409952,20,2.886,4.138,4.629,96.7,Gundyrev1999,,,,,,,,,
50.5,49.5,0,0,0,0,1.7319,0.622885,2.99,0.9415,0.71475,1.37475,1.62365,-34.9965,5.762409952,-20,2.883,4.132,4.636,96.9,Gundyrev1999,,,,,,,,,
50.5,49.5,0,0,0,0,1.7319,0.622885,2.99,0.9415,0.71475,1.37475,1.62365,-34.9965,5.762409952,-71,2.8815,4.1232,4.6256,97,Lukas2002,,,,,,,,,
50,50,0,0,0,0,1.73,0.6175,3,0.94,0.715,1.375,1.625,-35,5.762825659,20,2.909,4.1135,4.657,97.9,Prokoshkin2004,,,,,,,,,
50.7,49.3,0,0,0,0,1.73266,0.625039,2.986,0.9421,0.71465,1.37465,1.62311,-34.99314,5.762010861,20,2.882,4.143,4.614,96.35,Prokoshkin2004,,,,,,,,,
50,50,0,0,0,0,1.73,0.6175,3,0.94,0.715,1.375,1.625,-35,5.762825659,50,2.91,4.123,4.654,97.8,Prokoshkin2004,,,,,,,,,
50.7,49.3,0,0,0,0,1.73266,0.625039,2.986,0.9421,0.71465,1.37465,1.62311,-34.99314,5.762010861,-12,2.882,4.128,4.623,96.7,Prokoshkin2004,,,,,,,,,
50.7,49.3,0,0,0,0,1.73266,0.625039,2.986,0.9421,0.71465,1.37465,1.62311,-34.99314,5.762010861,-28,2.8934,4.127,4.6354,97.18,Khalil2004,,,,,,,,,
50.7,49.3,0,0,0,0,1.73266,0.625039,2.986,0.9421,0.71465,1.37465,1.62311,-34.99314,5.762010861,21,2.893,4.134,4.633,96.96,Khalil2004,,,,,,,,,
50.7,49.3,0,0,0,0,1.73266,0.625039,2.986,0.9421,0.71465,1.37465,1.62311,-34.99314,5.762010861,25,2.8964,4.1351,4.6234,96.76,Khalil2004,,,,,,,,,
50.7,49.3,0,0,0,0,1.73266,0.625039,2.986,0.9421,0.71465,1.37465,1.62311,-34.99314,5.762010861,-38,2.8786,4.134,4.6215,96.65,Khalil2004,,,,,,,,,
50.7,49.3,0,0,0,0,1.73266,0.625039,2.986,0.9421,0.71465,1.37465,1.62311,-34.99314,5.762010861,-8,2.8792,4.1394,4.614,96.47,Khalil2004,,,,,,,,,
51,49,0,0,0,0,1.7338,0.62827,2.98,0.943,0.7145,1.3745,1.6223,-34.986,5.761162748,-150,2.89,4.14,4.65,97.1,Khachin1992,,,,,,,,,
37,53.5,0,0,9.5,0,1.7148,0.586645,3.07,0.93995,0.72055,1.37675,1.63065,-28.9803,7.699829461,-87,3.031,4.254,4.823,96.96,Miyazaki1996,3.032,0.999670185,0.992095068,1.124794197,0.992095068,0.970519786,1.050485983,0.107314348,0.059 
49.5,34.9,15.6,0,0,0,1.69378,0.599791,3.01,0.93616,0.72929,1.39865,1.67627,-37.15866,8.358077074,25,3.01,4.07,4.79,101.86,Sanjabi2005,3.08,0.977272727,0.934391104,1.099688793,0.934391104,0.909584442,1.025926118,-0.017250405,0.115 
49.8,42.2,8,0,0,0,1.71164,0.609026,3.004,0.9382,0.7223,1.3871,1.65114,-36.11496,7.593359668,25,2.97,4.1,4.75,100.2,F. Dalle2001,,,,,,,,,
48.5,36.5,15,0,0,0,1.6913,0.589495,3.03,0.93325,0.72925,1.39825,1.67705,-37.0055,8.342144875,25,2.93,4.11,4.73,100.4,X. D. HAN1995,3.09,0.948220065,0.94052067,1.082399701,0.94052067,0.897431571,1.021891677,-0.050552244,0.121 
49.5,45.5,0,0,0,5,1.7176,0.629465,3.01,0.937,0.72025,1.38275,1.64135,-40.8415,7.118136776,25,2.916,4.113,4.718,97.2,S.F. Hsieh1998,,,,,,,,,
49.5,40.5,0,0,0,10,1.7071,0.646815,3.01,0.9355,0.72525,1.39025,1.65635,-45.7065,7.851807328,25,2.952,4.094,4.746,97.43,S.F. Hsieh1998,,,,,,,,,
49.5,35.5,0,0,0,15,1.6966,0.664165,3.01,0.934,0.73025,1.39775,1.67135,-49.5915,8.316511469,25,2.976,4.092,4.79,97.53,S.F. Hsieh1998,,,,,,,,,
49.5,30.5,0,0,0,20,1.6861,0.681515,3.01,0.9325,0.73525,1.40525,1.68635,-52.4965,8.581217126,25,2.992,4.08,4.858,98.5,S.F. Hsieh1998,,,,,,,,,
