Ni,Ti,Hf,Co,Cu,Zr,en_p,ea,valence,pettifor,rad_ionic,rad_slater,rad_clementi,?H,?S,T,a,b,c,beta
0,0,0,0,0,100,1.33,0.426,4,0.76,0.84,1.55,2.06,0,0,25,5.1462,5.2042,5.312,99.243
25,16.67,16.67,10,15,16.67,1.651473,0.6234835,7.0504,0.9440775,0.773747,1.42515,1.72553,-37.32652244,14.61068271,25,3.135,4.128,4.975,102.5
50,35,0,0,0,15,1.6985,0.66955,7,0.9355,0.73,1.3975,1.67,-49.49,8.302188563,25,3.055,4.117,4.89,102.31
47,35,0,0,3,15,1.6979,0.67171,7.03,0.9388,0.7312,1.3975,1.6688,-47.7044,9.245692554,25,3.062,4.123,4.862,101.1
45,35,0,0,5,15,1.6975,0.67315,7.05,0.941,0.732,1.3975,1.668,-46.53,9.653558483,25,3.066,4.128,4.844,100.55
40,35,0,0,10,15,1.6965,0.67675,7.1,0.9465,0.734,1.3975,1.666,-43.65,10.38236144,25,3.075,4.138,4.801,98.79
35,35,0,0,15,15,1.6955,0.68035,7.15,0.952,0.736,1.3975,1.664,-40.85,10.84155147,25,3.084,4.148,4.757,97.09
25,20,15,0,25,15,1.6605,0.6757,7.25,0.96075,0.7535,1.42,1.708,-33.33,13.17079569,-100,3.331,4.216,4.781,100.3
25,16.67,16.67,0,25,16.67,1.653473,0.6801835,7.2504,0.9600775,0.756747,1.42515,1.71853,-33.61912244,13.21182796,25,3.172,4.138,5.007,102.65
25,16.67,16.67,0,25,16.67,1.653473,0.6801835,7.2504,0.9600775,0.756747,1.42515,1.71853,-33.61912244,13.21182796,25,3.155,4.167,4.967,100.95
35,25,12.5,0,15,12.5,1.67325,0.6618,7.15,0.950875,0.74475,1.4125,1.6965,-37.81,12.62430781,25,3.107,4.135,4.91,101.34
35,20,15,0,15,15,1.6625,0.6685,7.15,0.94975,0.7495,1.42,1.712,-38.63,12.82874576,25,3.1464,4.1286,4.9308,101.59
35,35,0,0,15,15,1.6955,0.68035,7.15,0.952,0.736,1.3975,1.664,-40.85,10.84155147,25,3.084,4.148,4.757,97.1
25,20,15,0,25,15,1.6605,0.6757,7.25,0.96075,0.7535,1.42,1.708,-33.33,13.17079569,25,3.331,4.216,4.781,100.3
49.75,50.25,0,0,0,0,1.72905,0.6148075,6.985,0.93925,0.715125,1.375125,1.625675,-34.999125,5.762721734,23,2.87,4.11,4.6,97.4
50,50,0,0,0,0,1.73,0.6175,7,0.94,0.715,1.375,1.625,-35,5.762825659,20,2.904,4.121,4.649,97.9
49.75,50.25,0,0,0,0,1.72905,0.6148075,6.985,0.93925,0.715125,1.375125,1.625675,-34.999125,5.762721734,-192,2.874,4.113,4.63,97
49.75,50.25,0,0,0,0,1.72905,0.6148075,6.985,0.93925,0.715125,1.375125,1.625675,-34.999125,5.762721734,-53,2.88,4.148,4.621,96.4
49.75,50.25,0,0,0,0,1.72905,0.6148075,6.985,0.93925,0.715125,1.375125,1.625675,-34.999125,5.762721734,-178,2.872,4.124,4.632,96.9
49.8,50.2,0,0,0,0,1.72924,0.615346,6.988,0.9394,0.7151,1.3751,1.62554,-34.99944,5.762759147,20,2.893,4.12,4.657,97.6
50.3,49.7,0,0,0,0,1.73114,0.620731,7.018,0.9409,0.71485,1.37485,1.62419,-34.99874,5.762676006,20,2.889,4.12,4.622,96.8
50,50,0,0,0,0,1.73,0.6175,7,0.94,0.715,1.375,1.625,-35,5.762825659,20,2.909,4.141,4.639,96.8
49.2,50.8,0,0,0,0,1.72696,0.608884,6.952,0.9376,0.7154,1.3754,1.62716,-34.99104,5.761761422,-263,2.884,4.11,4.665,98.1
51,49,0,0,0,0,1.7338,0.62827,7.06,0.943,0.7145,1.3745,1.6223,-34.986,5.761162748,-45,2.887,4.114,4.634,96.7
51,49,0,0,0,0,1.7338,0.62827,7.06,0.943,0.7145,1.3745,1.6223,-34.986,5.761162748,-150,2.898,4.143,4.653,97.3
49.2,50.8,0,0,0,0,1.72696,0.608884,6.952,0.9376,0.7154,1.3754,1.62716,-34.99104,5.761761422,20,2.898,4.108,4.646,97.78
48.5,51.5,0,0,0,0,1.7243,0.601345,6.91,0.9355,0.71575,1.37575,1.62905,-34.9685,5.759083798,20,2.9,4.11,4.66,97.8
50,50,0,0,0,0,1.73,0.6175,7,0.94,0.715,1.375,1.625,-35,5.762825659,20,2.89,4.12,4.64,97.3
50.5,49.5,0,0,0,0,1.7319,0.622885,7.03,0.9415,0.71475,1.37475,1.62365,-34.9965,5.762409952,-50,2.89,4.15,4.64,97.1
50.1,49.9,0,0,0,0,1.73038,0.618577,7.006,0.9403,0.71495,1.37495,1.62473,-34.99986,5.762809031,21,2.904,4.141,4.654,97.1
50.1,49.9,0,0,0,0,1.73038,0.618577,7.006,0.9403,0.71495,1.37495,1.62473,-34.99986,5.762809031,74,2.902,4.155,4.632,96.6
50.5,49.5,0,0,0,0,1.7319,0.622885,7.03,0.9415,0.71475,1.37475,1.62365,-34.9965,5.762409952,20,2.886,4.138,4.629,96.7
50.5,49.5,0,0,0,0,1.7319,0.622885,7.03,0.9415,0.71475,1.37475,1.62365,-34.9965,5.762409952,-20,2.883,4.132,4.636,96.9
50.5,49.5,0,0,0,0,1.7319,0.622885,7.03,0.9415,0.71475,1.37475,1.62365,-34.9965,5.762409952,-71,2.8815,4.1232,4.6256,97
50,50,0,0,0,0,1.73,0.6175,7,0.94,0.715,1.375,1.625,-35,5.762825659,20,2.909,4.1135,4.657,97.9
50.7,49.3,0,0,0,0,1.73266,0.625039,7.042,0.9421,0.71465,1.37465,1.62311,-34.99314,5.762010861,20,2.882,4.143,4.614,96.35
50,50,0,0,0,0,1.73,0.6175,7,0.94,0.715,1.375,1.625,-35,5.762825659,50,2.91,4.123,4.654,97.8
50.7,49.3,0,0,0,0,1.73266,0.625039,7.042,0.9421,0.71465,1.37465,1.62311,-34.99314,5.762010861,-12,2.882,4.128,4.623,96.7
50.7,49.3,0,0,0,0,1.73266,0.625039,7.042,0.9421,0.71465,1.37465,1.62311,-34.99314,5.762010861,-28,2.8934,4.127,4.6354,97.18
50.7,49.3,0,0,0,0,1.73266,0.625039,7.042,0.9421,0.71465,1.37465,1.62311,-34.99314,5.762010861,21,2.893,4.134,4.633,96.96
50.7,49.3,0,0,0,0,1.73266,0.625039,7.042,0.9421,0.71465,1.37465,1.62311,-34.99314,5.762010861,25,2.8964,4.1351,4.6234,96.76
50.7,49.3,0,0,0,0,1.73266,0.625039,7.042,0.9421,0.71465,1.37465,1.62311,-34.99314,5.762010861,-38,2.8786,4.134,4.6215,96.65
50.7,49.3,0,0,0,0,1.73266,0.625039,7.042,0.9421,0.71465,1.37465,1.62311,-34.99314,5.762010861,-8,2.8792,4.1394,4.614,96.47
51,49,0,0,0,0,1.7338,0.62827,7.06,0.943,0.7145,1.3745,1.6223,-34.986,5.761162748,-150,2.89,4.14,4.65,97.1
37,53.5,0,0,9.5,0,1.7148,0.586645,6.885,0.93995,0.72055,1.37675,1.63065,-28.9803,7.699829461,-87,3.031,4.254,4.823,96.96
49.5,34.9,15.6,0,0,0,1.69378,0.599791,6.97,0.93616,0.72929,1.39865,1.67627,-37.15866,8.358077074,25,3.01,4.07,4.79,101.86
49.8,42.2,8,0,0,0,1.71164,0.609026,6.988,0.9382,0.7223,1.3871,1.65114,-36.11496,7.593359668,25,2.97,4.1,4.75,100.2
