Ni,Ti,Hf,Co,Cu,Zr,en_p,ea,valence,pettifor,rad_ionic,rad_slater,rad_clementi,?H,?S,T,a,ref
25,16.67,16.67,10,15,16.67,1.651473,0.6234835,3.0004,0.09440775,0.773747,1.42515,1.72553,-37.32652244,14.61068271,25,3.144,Chih-Hsuan2018
50,35,0,0,0,15,1.9295,0.66955,3,0.9355,0.73,1.3975,1.67,-49.49,8.302188563,25,3.094,WC-Kim2019
47,35,0,0,3,15,1.6979,0.67171,3,0.9388,0.7312,1.3975,1.6688,-47.7044,9.245692554,25,3.097,WC-Kim2019
45,35,0,0,5,15,1.6975,0.6731,3,0.941,0.732,1.3975,1.668,-46.53,9.653558483,25,3.099,WC-Kim2019
40,35,0,0,10,15,1.6965,0.6767,3,0.9465,0.734,1.3975,1.666,-43.65,10.38236144,25,3.105,WC-Kim2019
35,35,0,0,15,15,1.6955,0.6803,3,0.952,0.736,1.3975,1.664,-40.85,10.84155147,25,3.11,WC-Kim2019
25,20,15,0,25,15,1.6605,0.6757,3,0.96075,0.7535,1.42,1.708,-33.33,13.17079569,200,3.172,Shaohui2021
25,16.67,16.67,0,25,16.67,1.653473,0.6801,3.0004,0.9600775,0.756747,1.42515,1.71853,-33.61912244,13.21182796,25,3.166,Shan-Hsiu2019
25,16.67,16.67,0,25,16.67,1.653473,0.6801,3.0004,0.9600775,0.756747,1.42515,1.71853,-33.61912244,13.21182796,25,3.167,Shan-Hsiu2019
35,25,12.5,0,15,12.5,1.67325,0.6618,3,0.950875,0.74475,1.4125,1.6965,-37.81,12.62430781,25,3.136,Shan-Hsiu2021
40,40,0,5,5,10,1.706,0.72145,3,0.94,0.7375,1.39,1.6545,-41.94,10.49945397,25,3.062,Chih-Hsuan2019
30,30,0,10,10,20,1.682,0.6714,3,0.94,0.76,1.405,1.684,-44.96,12.51080979,25,3.108,Chih-Hsuan2019
16.67,25,0,16.67,16.67,25,1.6677,0.6338,3.0002,0.9426,0.7817,1.412635,1.698482,-41.9779444,13.21182796,25,3.131,Chih-Hsuan2019
30,30,10,10,10,10,1.681,0.602,3,0.9415,0.759,1.405,1.686,-37.76,13.66337492,25,3.095,Chih-Hsuan2019
20,20,15,15,15,15,1.6565,0.59425,3,0.94225,0.781,1.42,1.7165,-36.26,14.81594005,25,3.136,Chih-Hsuan2019
16.67,16.67,16.67,16.67,16.67,16.67,1.6486,0.591785,3.0006,0.9426885,0.7885,1.425285,1.727012,-35.34746808,14.8980046,25,3.155,Chih-Hsuan2019
50.1,49.9,0,0,0,0,1.73038,0.618577,2.998,0.9403,0.71495,1.37495,1.62473,-34.99986,5.762809031,65,3.0166,"J, khalil2003"
50.1,49.9,0,0,0,0,1.73038,0.618577,2.998,0.9403,0.71495,1.37495,1.62473,-34.99986,5.762809031,75,3.0173,"J, khalil2003"
50.1,49.9,0,0,0,0,1.73038,0.618577,2.998,0.9403,0.71495,1.37495,1.62473,-34.99986,5.762809031,85,3.0176,"J, khalil2003"
50,50,0,0,0,0,1.73,0.6175,3,0.94,0.715,1.375,1.625,-35,5.762825659,25,3.01,Frederick E1995
49.75,50.25,0,0,0,0,1.72905,0.6148075,3.005,0.93925,0.715125,1.375125,1.625675,-34.999125,5.762721734,20,3.015,Otsuka1971
50.5,49.5,0,0,0,0,1.7319,0.622885,2.99,0.9415,0.71475,1.37475,1.62365,-34.9965,5.762409952,27,3.0125,Sittner2003
50,50,0,0,0,0,1.73,0.6175,3,0.94,0.715,1.375,1.625,-35,5.762825659,120,3.0203,Prokoshkin2004
50,50,0,0,0,0,1.73,0.6175,3,0.94,0.715,1.375,1.625,-35,5.762825659,50,3.0175,Prokoshkin2004
50,50,0,0,0,0,1.73,0.6175,3,0.94,0.715,1.375,1.625,-35,5.762825659,20,3.0164,Prokoshkin2004
50.7,49.3,0,0,0,0,1.73266,0.625039,2.986,0.9421,0.71465,1.37465,1.62311,-34.99314,5.762010861,120,3.0164,Prokoshkin2004
50.7,49.3,0,0,0,0,1.73266,0.625039,2.986,0.9421,0.71465,1.37465,1.62311,-34.99314,5.762010861,20,3.0121,Prokoshkin2004
50.7,49.3,0,0,0,0,1.73266,0.625039,2.986,0.9421,0.71465,1.37465,1.62311,-34.99314,5.762010861,-12,3.0107,Prokoshkin2004
50.7,49.3,0,0,0,0,1.73266,0.625039,2.986,0.9421,0.71465,1.37465,1.62311,-34.99314,5.762010861,21,3.0141,Khalil2004
50.7,49.3,0,0,0,0,1.73266,0.625039,2.986,0.9421,0.71465,1.37465,1.62311,-34.99314,5.762010861,58,3.01595,Khalil2004
50.7,49.3,0,0,0,0,1.73266,0.625039,2.986,0.9421,0.71465,1.37465,1.62311,-34.99314,5.762010861,74,3.01658,Khalil2004
50.7,49.3,0,0,0,0,1.73266,0.625039,2.986,0.9421,0.71465,1.37465,1.62311,-34.99314,5.762010861,-38,3.0069,Khalil2004
50.7,49.3,0,0,0,0,1.73266,0.625039,2.986,0.9421,0.71465,1.37465,1.62311,-34.99314,5.762010861,-8,3.0093,Khalil2004
50.1,49.9,0,0,0,0,1.73038,0.618577,2.998,0.9403,0.71495,1.37495,1.62473,-34.99986,5.762809031,65,3.0166,Khalil2004
50.1,49.9,0,0,0,0,1.73038,0.618577,2.998,0.9403,0.71495,1.37495,1.62473,-34.99986,5.762809031,75,3.0173,Khalil2004
50.1,49.9,0,0,0,0,1.73038,0.618577,2.998,0.9403,0.71495,1.37495,1.62473,-34.99986,5.762809031,85,3.0176,Khalil2004
37,53.5,0,0,9.5,0,1.7148,0.586645,3.07,0.93995,0.72055,1.37675,1.63065,-28.9803,7.699829461,100,3.032,Miyazaki1996
49.5,34.9,15.6,0,0,0,1.69378,0.599791,3.01,0.93616,0.72929,1.39865,1.67627,-37.15866,8.358077074,473,3.08,Sanjabi2005
48.5,36.5,15,0,0,0,1.6913,0.589495,3.03,0.93325,0.72925,1.39825,1.67705,-37.0055,8.342144875,25,3.09,X. D. HAN1995
50.3,29.7,20,0,0,0,1.68714,0.604931,2.994,0.9379,0.73285,1.40485,1.68819,-37.81554,8.547594342,300,3.0947,O. Benafan2021 
50.3,29.7,20,0,0,0,1.68714,0.604931,2.994,0.9379,0.73285,1.40485,1.68819,-37.81554,8.547594342,300,3.0944,O. Benafan2021 
50.3,29.7,20,0,0,0,1.68714,0.604931,2.994,0.9379,0.73285,1.40485,1.68819,-37.81554,8.547594342,300,3.0941,O. Benafan2021 
50.3,29.7,20,0,0,0,1.68714,0.604931,2.994,0.9379,0.73285,1.40485,1.68819,-37.81554,8.547594342,300,3.0841,O. Benafan2021 
50.3,29.7,20,0,0,0,1.68714,0.604931,2.994,0.9379,0.73285,1.40485,1.68819,-37.81554,8.547594342,300,3.0809,O. Benafan2021 
50.3,29.7,20,0,0,0,1.68714,0.604931,2.994,0.9379,0.73285,1.40485,1.68819,-37.81554,8.547594342,300,3.0947,O. Benafan2021 
50.3,29.7,20,0,0,0,1.68714,0.604931,2.994,0.9379,0.73285,1.40485,1.68819,-37.81554,8.547594342,300,3.0973,O. Benafan2021 
50.3,29.7,20,0,0,0,1.68714,0.604931,2.994,0.9379,0.73285,1.40485,1.68819,-37.81554,8.547594342,300,3.0936,O. Benafan2021 
50.3,29.7,20,0,0,0,1.68714,0.604931,2.994,0.9379,0.73285,1.40485,1.68819,-37.81554,8.547594342,300,3.0936,O. Benafan2021 
50.3,29.7,20,0,0,0,1.68714,0.604931,2.994,0.9379,0.73285,1.40485,1.68819,-37.81554,8.547594342,300,3.0927,O. Benafan2021 
50.3,29.7,20,0,0,0,1.68714,0.604931,2.994,0.9379,0.73285,1.40485,1.68819,-37.81554,8.547594342,300,3.0925,O. Benafan2021 
50.3,29.7,20,0,0,0,1.68714,0.604931,2.994,0.9379,0.73285,1.40485,1.68819,-37.81554,8.547594342,300,3.0938,O. Benafan2021 
50.3,29.7,20,0,0,0,1.68714,0.604931,2.994,0.9379,0.73285,1.40485,1.68819,-37.81554,8.547594342,300,3.0962,O. Benafan2021 
50.3,29.7,20,0,0,0,1.68714,0.604931,2.994,0.9379,0.73285,1.40485,1.68819,-37.81554,8.547594342,300,3.0958,O. Benafan2021 
50.3,29.7,20,0,0,0,1.68714,0.604931,2.994,0.9379,0.73285,1.40485,1.68819,-37.81554,8.547594342,300,3.0937,O. Benafan2021 
50.3,29.7,20,0,0,0,1.68714,0.604931,2.994,0.9379,0.73285,1.40485,1.68819,-37.81554,8.547594342,300,3.0941,O. Benafan2021 
50.3,29.7,20,0,0,0,1.68714,0.604931,2.994,0.9379,0.73285,1.40485,1.68819,-37.81554,8.547594342,300,3.0937,O. Benafan2021 
50.3,29.7,20,0,0,0,1.68714,0.604931,2.994,0.9379,0.73285,1.40485,1.68819,-37.81554,8.547594342,300,3.0934,O. Benafan2021 
50.3,29.7,20,0,0,0,1.68714,0.604931,2.994,0.9379,0.73285,1.40485,1.68819,-37.81554,8.547594342,300,3.0937,O. Benafan2021 
50.3,29.7,20,0,0,0,1.68714,0.604931,2.994,0.9379,0.73285,1.40485,1.68819,-37.81554,8.547594342,300,3.0921,O. Benafan2021 
50.3,29.7,20,0,0,0,1.68714,0.604931,2.994,0.9379,0.73285,1.40485,1.68819,-37.81554,8.547594342,300,3.0786,O. Benafan2021 
50.3,29.7,20,0,0,0,1.68714,0.604931,2.994,0.9379,0.73285,1.40485,1.68819,-37.81554,8.547594342,300,3.0782,O. Benafan2021 
50.3,29.7,20,0,0,0,1.68714,0.604931,2.994,0.9379,0.73285,1.40485,1.68819,-37.81554,8.547594342,300,3.0934,O. Benafan2021 
50.3,29.7,20,0,0,0,1.68714,0.604931,2.994,0.9379,0.73285,1.40485,1.68819,-37.81554,8.547594342,300,3.0973,O. Benafan2021 
50.3,29.7,20,0,0,0,1.68714,0.604931,2.994,0.9379,0.73285,1.40485,1.68819,-37.81554,8.547594342,300,3.0931,O. Benafan2021 
50.3,29.7,20,0,0,0,1.68714,0.604931,2.994,0.9379,0.73285,1.40485,1.68819,-37.81554,8.547594342,300,3.0935,O. Benafan2021 
50.3,29.7,20,0,0,0,1.68714,0.604931,2.994,0.9379,0.73285,1.40485,1.68819,-37.81554,8.547594342,300,3.0917,O. Benafan2021 
50.3,29.7,20,0,0,0,1.68714,0.604931,2.994,0.9379,0.73285,1.40485,1.68819,-37.81554,8.547594342,300,3.0911,O. Benafan2021 
50.3,29.7,20,0,0,0,1.68714,0.604931,2.994,0.9379,0.73285,1.40485,1.68819,-37.81554,8.547594342,300,3.0957,O. Benafan2021 
50.3,29.7,20,0,0,0,1.68714,0.604931,2.994,0.9379,0.73285,1.40485,1.68819,-37.81554,8.547594342,300,3.0964,O. Benafan2021 
