Ni,Ti,Hf,Co,Cu,Zr,en_p,ea,valence,pettifor,rad_ionic,rad_slater,rad_clementi,?H,?S,size_diff,T,a,ref,,predict ao,,,lattice parameter,??o,??enp,??ea,??valence,??ionr,??H,??T
25,16.67,16.67,10,15,16.67,1.651473,0.6234835,7.0504,0.09440775,0.773747,1.42515,1.72553,-37.32652244,14.61068271,0.063252842,25,3.144,Chih-Hsuan2018,,4.191433231,,B2,ao,1.51498949,-0.42139827,0.439929184,0.257009811,1.63298316,-0.000522019,0.000122403
50,35,0,0,0,15,1.9295,0.66955,7,0.9355,0.73,1.3975,1.67,-49.49,8.302188563,0.048630688,25,3.094,WC-Kim2019,,4.016497285,,B19',am,13.175519,-5.2031819,1.53369518,0.697289862,-5.4834784,0.009586082,0.000393257
47,35,0,0,3,15,1.6979,0.67171,7.03,0.9388,0.7312,1.3975,1.6688,-47.7044,9.245692554,0.048630688,25,3.097,WC-Kim2019,,4.123781129,,,bm,3.05511093,-0.298355946,1.56134651,0.778344255,-1.84628124,0.010296082,7.86581E-05
45,35,0,0,5,15,1.6975,0.6731,7.05,0.941,0.732,1.3975,1.668,-46.53,9.653558483,0.048630688,25,3.099,WC-Kim2019,,4.130394714,,,cm,13.9676837,-4.73979123,-1.81833818,-0.946622649,3.06348546,-0.01586458,-0.000357209
40,35,0,0,10,15,1.6965,0.6767,7.1,0.9465,0.734,1.3975,1.666,-43.65,10.38236144,0.048630688,25,3.105,WC-Kim2019,,4.147012901,,,betam,660.775993,-167.191603,-55.9114834,-49.1818566,-141.080344,-0.237242934,0.003808761
35,35,0,0,15,15,1.6955,0.6803,7.15,0.952,0.736,1.3975,1.664,-40.85,10.84155147,0.048630688,25,3.11,WC-Kim2019,,4.163672848,,,,,,,,,,
25,20,15,0,25,15,1.6605,0.6757,7.25,0.96075,0.7535,1.42,1.708,-33.33,13.17079569,0.061392943,200,3.172,Shaohui2021,,4.248171301,,,,,,,,,,
25,16.67,16.67,0,25,16.67,1.653473,0.6801,7.2504,0.9600775,0.756747,1.42515,1.71853,-33.61912244,13.21182796,0.063252842,25,3.166,Shan-Hsiu2019,,4.237203601,,,,,,,,,,
25,16.67,16.67,0,25,16.67,1.653473,0.6801,7.2504,0.9600775,0.756747,1.42515,1.71853,-33.61912244,13.21182796,0.063252842,25,3.167,Shan-Hsiu2019,,4.237203601,,,,,,,,,,
35,25,12.5,0,15,12.5,1.67325,0.6618,7.15,0.950875,0.74475,1.4125,1.6965,-37.81,12.62430781,0.058030429,25,3.136,Shan-Hsiu2021,,4.177611936,,,,,,,,,,
