Ni,Ti,Hf,Co,Cu,Zr,Fe,en_p,ea,valence,pettifor,rad_ionic,rad_slater,rad_clementi,?H,?S,size_diff,T,a,b,c,beta,ref
49.9,50.1,0,0,0,0,0,1.72962,0.616423,6.994,0.9397,0.71505,1.37505,1.62527,-34.99986,5.762809031,0.018181121,25,4.67,4.14,2.91,97.55,s. qiu2009
50.7,49.3,0,0,0,0,0,1.73266,0.625039,7.042,0.9421,0.71465,1.37465,1.62311,-34.99314,5.762010861,0.018184665,-28,2.8934,4.6354,4.127,97.18,"J, khalil2003"
50.7,49.3,0,0,0,0,0,1.73266,0.625039,7.042,0.9421,0.71465,1.37465,1.62311,-34.99314,5.762010861,0.018184665,21,2.893,4.633,4.134,96.96,"J, khalil2003"
50.7,49.3,0,0,0,0,0,1.73266,0.625039,7.042,0.9421,0.71465,1.37465,1.62311,-34.99314,5.762010861,0.018184665,25,2.8964,4.6234,4.1351,96.76,"J, khalil2003"
50,50,0,0,0,0,0,1.73,0.6175,7,0.94,0.715,1.375,1.625,-35,5.762825659,0.018181818,25,4.646,4.108,2.898,97.78,Guowu Ren2016
49.75,50.25,0,0,0,0,0,1.72905,0.6148075,6.985,0.93925,0.715125,1.375125,1.625675,-34.999125,5.762721734,0.018179938,23,2.87,4.11,4.6,97.4,Dautovich1965
50,50,0,0,0,0,0,1.73,0.6175,7,0.94,0.715,1.375,1.625,-35,5.762825659,0.018181818,20,2.904,4.121,4.649,97.9,Zijderveld 1968
49.75,50.25,0,0,0,0,0,1.72905,0.6148075,6.985,0.93925,0.715125,1.375125,1.625675,-34.999125,5.762721734,0.018179938,-192,2.874,4.113,4.63,97,Otsuka1971
49.75,50.25,0,0,0,0,0,1.72905,0.6148075,6.985,0.93925,0.715125,1.375125,1.625675,-34.999125,5.762721734,0.018179938,-53,2.88,4.148,4.621,96.4,Otsuka1971
49.75,50.25,0,0,0,0,0,1.72905,0.6148075,6.985,0.93925,0.715125,1.375125,1.625675,-34.999125,5.762721734,0.018179938,-178,2.872,4.124,4.632,96.9,Otsuka1971
49.8,50.2,0,0,0,0,0,1.72924,0.615346,6.988,0.9394,0.7151,1.3751,1.62554,-34.99944,5.762759147,0.018180351,20,2.893,4.12,4.657,97.6,Monasevich1979 
50.3,49.7,0,0,0,0,0,1.73114,0.620731,7.018,0.9409,0.71485,1.37485,1.62419,-34.99874,5.762676006,0.018183475,20,2.889,4.12,4.622,96.8,Monasevich1980
50,50,0,0,0,0,0,1.73,0.6175,7,0.94,0.715,1.375,1.625,-35,5.762825659,0.018181818,20,2.909,4.141,4.639,96.8,Tadaki1980
49.2,50.8,0,0,0,0,0,1.72696,0.608884,6.952,0.9376,0.7154,1.3754,1.62716,-34.99104,5.761761422,0.018174204,-263,2.884,4.11,4.665,98.1,Buhrer1983
51,49,0,0,0,0,0,1.7338,0.62827,7.06,0.943,0.7145,1.3745,1.6223,-34.986,5.761162748,0.018184794,-45,2.887,4.114,4.634,96.7,Savvinov1984
51,49,0,0,0,0,0,1.7338,0.62827,7.06,0.943,0.7145,1.3745,1.6223,-34.986,5.761162748,0.018184794,-150,2.898,4.143,4.653,97.3,Savvinov1984
49.2,50.8,0,0,0,0,0,1.72696,0.608884,6.952,0.9376,0.7154,1.3754,1.62716,-34.99104,5.761761422,0.018174204,20,2.898,4.108,4.646,97.78,Kudoh1985
48.5,51.5,0,0,0,0,0,1.7243,0.601345,6.91,0.9355,0.71575,1.37575,1.62905,-34.9685,5.759083798,0.018163727,20,2.9,4.11,4.66,97.8,Khachin1992
50,50,0,0,0,0,0,1.73,0.6175,7,0.94,0.715,1.375,1.625,-35,5.762825659,0.018181818,20,2.89,4.12,4.64,97.3,Khachin1992
50.5,49.5,0,0,0,0,0,1.7319,0.622885,7.03,0.9415,0.71475,1.37475,1.62365,-34.9965,5.762409952,0.018184215,-50,2.89,4.15,4.64,97.1,Khachin1992
50.1,49.9,0,0,0,0,0,1.73038,0.618577,7.006,0.9403,0.71495,1.37495,1.62473,-34.99986,5.762809031,0.018182443,21,2.904,4.141,4.654,97.1,Mironov1994
50.1,49.9,0,0,0,0,0,1.73038,0.618577,7.006,0.9403,0.71495,1.37495,1.62473,-34.99986,5.762809031,0.018182443,74,2.902,4.155,4.632,96.6,Mironov1994
50.5,49.5,0,0,0,0,0,1.7319,0.622885,7.03,0.9415,0.71475,1.37475,1.62365,-34.9965,5.762409952,0.018184215,20,2.886,4.138,4.629,96.7,Gundyrev1999
50.5,49.5,0,0,0,0,0,1.7319,0.622885,7.03,0.9415,0.71475,1.37475,1.62365,-34.9965,5.762409952,0.018184215,-20,2.883,4.132,4.636,96.9,Gundyrev1999
50.5,49.5,0,0,0,0,0,1.7319,0.622885,7.03,0.9415,0.71475,1.37475,1.62365,-34.9965,5.762409952,0.018184215,-71,2.8815,4.1232,4.6256,97,Lukas2002
50,50,0,0,0,0,0,1.73,0.6175,7,0.94,0.715,1.375,1.625,-35,5.762825659,0.018181818,20,2.909,4.1135,4.657,97.9,Prokoshkin2004
50.7,49.3,0,0,0,0,0,1.73266,0.625039,7.042,0.9421,0.71465,1.37465,1.62311,-34.99314,5.762010861,0.018184665,20,2.882,4.143,4.614,96.35,Prokoshkin2004
50,50,0,0,0,0,0,1.73,0.6175,7,0.94,0.715,1.375,1.625,-35,5.762825659,0.018181818,50,2.91,4.123,4.654,97.8,Prokoshkin2004
50.7,49.3,0,0,0,0,0,1.73266,0.625039,7.042,0.9421,0.71465,1.37465,1.62311,-34.99314,5.762010861,0.018184665,-12,2.882,4.128,4.623,96.7,Prokoshkin2004
50.7,49.3,0,0,0,0,0,1.73266,0.625039,7.042,0.9421,0.71465,1.37465,1.62311,-34.99314,5.762010861,0.018184665,-28,2.8934,4.127,4.6354,97.18,Khalil2004
50.7,49.3,0,0,0,0,0,1.73266,0.625039,7.042,0.9421,0.71465,1.37465,1.62311,-34.99314,5.762010861,0.018184665,21,2.893,4.134,4.633,96.96,Khalil2004
50.7,49.3,0,0,0,0,0,1.73266,0.625039,7.042,0.9421,0.71465,1.37465,1.62311,-34.99314,5.762010861,0.018184665,25,2.8964,4.1351,4.6234,96.76,Khalil2004
50.7,49.3,0,0,0,0,0,1.73266,0.625039,7.042,0.9421,0.71465,1.37465,1.62311,-34.99314,5.762010861,0.018184665,-38,2.8786,4.134,4.6215,96.65,Khalil2004
50.7,49.3,0,0,0,0,0,1.73266,0.625039,7.042,0.9421,0.71465,1.37465,1.62311,-34.99314,5.762010861,0.018184665,-8,2.8792,4.1394,4.614,96.47,Khalil2004
51,49,0,0,0,0,0,1.7338,0.62827,7.06,0.943,0.7145,1.3745,1.6223,-34.986,5.761162748,0.018184794,-150,2.89,4.14,4.65,97.1,Khachin1992
37,53.5,0,0,9.5,0,0,1.7148,0.586645,6.885,0.93995,0.72055,1.37675,1.63065,-28.9803,7.699829461,0.018114164,-87,3.031,4.254,4.823,96.96,Miyazaki1996
49.5,34.9,15.6,0,0,0,0,1.69378,0.599791,6.97,0.93616,0.72929,1.39865,1.67627,-37.15866,8.358077074,0.049253836,25,3.01,4.07,4.79,101.86,Sanjabi2005
49.8,42.2,8,0,0,0,0,1.71164,0.609026,6.988,0.9382,0.7223,1.3871,1.65114,-36.11496,7.593359668,0.038679614,25,2.97,4.1,4.75,100.2,F. Dalle2001
48.5,36.5,15,0,0,0,0,1.6913,0.589495,6.91,0.93325,0.72925,1.39825,1.67705,-37.0055,8.342144875,0.048423726,25,2.93,4.11,4.73,100.4,X. D. HAN1995
