Ni,Ti,Hf,Co,Cu,Zr,Fe,en_p,ea,valence,pettifor,rad_ionic,rad_slater,rad_clementi,?H,?S,size_diff,rad_Waber,atom_number,atom_mass,T,a,b,c,beta,ref,ac,α,β,γ,λ1,λ2,λ3,ΔV/V,εRMS,Ms
0,0,0,0,0,100,0,1.33,0.426,4,0.76,0.84,1.55,2.06,0,0,0,0.79,40,91.2,25,5.1462,5.2042,5.312,99.243,Gaillard-Allemand2002,,,,,,,,,,
25,16.67,16.67,10,15,16.67,0,1.651473,0.6234835,7.0504,0.9440775,0.773747,1.42515,1.72553,-37.32652244,14.61068271,0.063252842,0.5138536,36.3878,82.85889,25,3.135,4.128,4.975,102.5,Chih-Hsuan2018,3.144,0.997137405,0.92841501,1.118911017,0.92841501,0.921639034,1.023970466,0.011286534,0.109,
50,35,0,0,0,15,0,1.6985,0.66955,7,0.9355,0.73,1.3975,1.67,-49.49,8.302188563,0.048630688,0.45215,27.7,59.43,25,3.055,4.117,4.89,102.31,WC-Kim2019,3.094,0.987394958,0.940904531,1.117566955,0.940904531,0.916354189,1.036363057,0.014397815,0.109,141
47,35,0,0,3,15,0,1.6979,0.67171,7.03,0.9388,0.7312,1.3975,1.6688,-47.7044,9.245692554,0.048630688,0.45176,27.73,59.577,25,3.062,4.123,4.862,101.1,WC-Kim2019,3.097,0.988698741,0.941363015,1.110091434,0.941363015,0.926381548,1.027993398,0.013860997,0.098,97.9
45,35,0,0,5,15,0,1.6975,0.67315,7.05,0.941,0.732,1.3975,1.668,-46.53,9.653558483,0.048630688,0.4515,27.75,59.675,25,3.066,4.128,4.844,100.55,WC-Kim2019,3.099,0.989351404,0.941896351,1.105267908,0.941896351,0.930630615,1.024501622,0.01255112,0.094,79
40,35,0,0,10,15,0,1.6965,0.67675,7.1,0.9465,0.734,1.3975,1.666,-43.65,10.38236144,0.048630688,0.45085,27.8,59.92,25,3.075,4.138,4.801,98.79,WC-Kim2019,3.105,0.990338164,0.942353578,1.093339664,0.942353578,0.943857103,1.011796991,0.0083738,0.081,-6
35,35,0,0,15,15,0,1.6955,0.68035,7.15,0.952,0.736,1.3975,1.664,-40.85,10.84155147,0.048630688,0.4502,27.85,60.165,25,3.084,4.148,4.757,97.09,WC-Kim2019,3.11,0.991639871,0.943112196,1.0815778,0.943112196,0.956380856,0.999622532,0.003786867,0.072,-83.9
25,20,15,0,25,15,0,1.6605,0.6757,7.25,0.96075,0.7535,1.42,1.708,-33.33,13.17079569,0.061392943,0.4999,35.45,80.38,-100,3.331,4.216,4.781,100.3,Shaohui2021,3.172,1.050126103,0.939836756,1.065787365,0.939836756,0.958400538,1.02040575,0.034924822,0.076,
25,16.67,16.67,0,25,16.67,0,1.653473,0.6801835,7.2504,0.9600775,0.756747,1.42515,1.71853,-33.61912244,13.21182796,0.063252842,0.5106536,36.5878,83.31889,25,3.172,4.138,5.007,102.65,Shan-Hsiu2019,3.166,1.001895136,0.92419705,1.118282897,0.92419705,0.923329857,1.020388383,0.010337372,0.11,
25,16.67,16.67,0,25,16.67,0,1.653473,0.6801835,7.2504,0.9600775,0.756747,1.42515,1.71853,-33.61912244,13.21182796,0.063252842,0.5106536,36.5878,83.31889,25,3.155,4.167,4.967,100.95,Shan-Hsiu2019,3.167,0.996210925,0.930380157,1.108998858,0.930380157,0.932761791,1.014904584,0.009166701,0.098,
35,25,12.5,0,15,12.5,0,1.67325,0.6618,7.15,0.950875,0.74475,1.4125,1.6965,-37.81,12.62430781,0.058030429,0.485175,33.65,75.4975,25,3.107,4.135,4.91,101.34,Shan-Hsiu2021,3.136,0.990752551,0.932361779,1.10710915,0.932361779,0.925107173,1.019916297,0.002715638,0.103,
35,20,15,0,15,15,0,1.6625,0.6685,7.15,0.94975,0.7495,1.42,1.712,-38.63,12.82874576,0.061392943,0.5012,35.35,79.89,25,3.1464,4.1286,4.9308,101.59,Shan-Hsiu2023,,,,,,,,,,
35,35,0,0,15,15,0,1.6955,0.68035,7.15,0.952,0.736,1.3975,1.664,-40.85,10.84155147,0.048630688,0.4502,27.85,60.165,25,3.084,4.148,4.757,97.1,yenting2022,,,,,,,,,,
25,20,15,0,25,15,0,1.6605,0.6757,7.25,0.96075,0.7535,1.42,1.708,-33.33,13.17079569,0.061392943,0.4999,35.45,80.38,25,3.331,4.216,4.781,100.3,yenting2022,,,,,,,,,,
49.9,50.1,0,0,0,0,0,1.72962,0.616423,6.994,0.9397,0.71505,1.37505,1.62527,-34.99986,5.762809031,0.018181121,0.407164,24.994,52.7884,25,4.67,4.14,2.91,97.55,s. qiu2009,,,,,,,,,,
50.7,49.3,0,0,0,0,0,1.73266,0.625039,7.042,0.9421,0.71465,1.37465,1.62311,-34.99314,5.762010861,0.018184665,0.405852,25.042,52.8812,-28,2.8934,4.6354,4.127,97.18,"J, khalil2003",3.0166,0.959159318,1.086561948,0.967390335,1.086561948,0.900928174,1.152466279,0.000294765,0.201,
