Ni,Ti,Hf,Co,Cu,Zr,Fe,a,b,c,beta
0.0,0.0,0.0,0.0,0.0,100.0,0.0,4.7112,4.9876,5.1969,99.5632
25.0,16.67,16.67,10.0,15.0,16.67,0.0,3.132,4.1282,4.962,102.5856
50.0,35.0,0.0,0.0,0.0,15.0,0.0,3.0497,4.093,4.8607,102.0693
47.0,35.0,0.0,0.0,3.0,15.0,0.0,3.0587,4.1163,4.8471,101.1931
45.0,35.0,0.0,0.0,5.0,15.0,0.0,3.0583,4.1242,4.839,100.459
40.0,35.0,0.0,0.0,10.0,15.0,0.0,3.0819,4.1388,4.8152,99.0828
35.0,35.0,0.0,0.0,15.0,15.0,0.0,3.0801,4.1455,4.7768,97.2121
25.0,20.0,15.0,0.0,25.0,15.0,0.0,3.319,4.2102,4.7953,100.3765
25.0,16.67,16.67,0.0,25.0,16.67,0.0,3.1716,4.1578,4.9379,101.6785
25.0,16.67,16.67,0.0,25.0,16.67,0.0,3.1716,4.1578,4.9379,101.6785
35.0,25.0,12.5,0.0,15.0,12.5,0.0,3.1134,4.1364,4.8845,101.3778
35.0,20.0,15.0,0.0,15.0,15.0,0.0,3.139,4.1316,4.896,101.6247
35.0,35.0,0.0,0.0,15.0,15.0,0.0,3.0801,4.1455,4.7768,97.2121
25.0,20.0,15.0,0.0,25.0,15.0,0.0,3.319,4.2102,4.7953,100.3765
49.9,50.1,0.0,0.0,0.0,0.0,0.0,4.2964,4.127,3.2612,97.3433
50.7,49.3,0.0,0.0,0.0,0.0,0.0,2.8861,4.2502,4.5141,96.8619
50.7,49.3,0.0,0.0,0.0,0.0,0.0,2.8861,4.2502,4.5141,96.8619
50.7,49.3,0.0,0.0,0.0,0.0,0.0,2.8861,4.2502,4.5141,96.8619
50.0,50.0,0.0,0.0,0.0,0.0,0.0,2.9886,4.1187,4.542,97.4554
49.75,50.25,0.0,0.0,0.0,0.0,0.0,2.8777,4.1241,4.6206,96.9642
50.0,50.0,0.0,0.0,0.0,0.0,0.0,2.9886,4.1187,4.542,97.4554
49.75,50.25,0.0,0.0,0.0,0.0,0.0,2.8777,4.1241,4.6206,96.9642
49.75,50.25,0.0,0.0,0.0,0.0,0.0,2.8777,4.1241,4.6206,96.9642
49.75,50.25,0.0,0.0,0.0,0.0,0.0,2.8777,4.1241,4.6206,96.9642
49.8,50.2,0.0,0.0,0.0,0.0,0.0,2.9083,4.1244,4.6352,97.2592
50.3,49.7,0.0,0.0,0.0,0.0,0.0,2.8832,4.1309,4.6373,96.9208
50.0,50.0,0.0,0.0,0.0,0.0,0.0,2.9886,4.1187,4.542,97.4554
49.2,50.8,0.0,0.0,0.0,0.0,0.0,2.8894,4.1135,4.6504,97.8573
51.0,49.0,0.0,0.0,0.0,0.0,0.0,2.8869,4.1323,4.6438,96.9782
51.0,49.0,0.0,0.0,0.0,0.0,0.0,2.8869,4.1323,4.6438,96.9782
49.2,50.8,0.0,0.0,0.0,0.0,0.0,2.8894,4.1135,4.6504,97.8573
48.5,51.5,0.0,0.0,0.0,0.0,0.0,2.8899,4.1098,4.6573,97.8676
50.0,50.0,0.0,0.0,0.0,0.0,0.0,2.9886,4.1187,4.542,97.4554
50.5,49.5,0.0,0.0,0.0,0.0,0.0,2.8842,4.1369,4.6349,96.917
50.1,49.9,0.0,0.0,0.0,0.0,0.0,2.9141,4.1363,4.6279,97.0207
50.1,49.9,0.0,0.0,0.0,0.0,0.0,2.9141,4.1363,4.6279,97.0207
50.5,49.5,0.0,0.0,0.0,0.0,0.0,2.8842,4.1369,4.6349,96.917
50.5,49.5,0.0,0.0,0.0,0.0,0.0,2.8842,4.1369,4.6349,96.917
50.5,49.5,0.0,0.0,0.0,0.0,0.0,2.8842,4.1369,4.6349,96.917
50.0,50.0,0.0,0.0,0.0,0.0,0.0,2.9886,4.1187,4.542,97.4554
50.7,49.3,0.0,0.0,0.0,0.0,0.0,2.8861,4.2502,4.5141,96.8619
50.0,50.0,0.0,0.0,0.0,0.0,0.0,2.9886,4.1187,4.542,97.4554
50.7,49.3,0.0,0.0,0.0,0.0,0.0,2.8861,4.2502,4.5141,96.8619
50.7,49.3,0.0,0.0,0.0,0.0,0.0,2.8861,4.2502,4.5141,96.8619
50.7,49.3,0.0,0.0,0.0,0.0,0.0,2.8861,4.2502,4.5141,96.8619
50.7,49.3,0.0,0.0,0.0,0.0,0.0,2.8861,4.2502,4.5141,96.8619
50.7,49.3,0.0,0.0,0.0,0.0,0.0,2.8861,4.2502,4.5141,96.8619
50.7,49.3,0.0,0.0,0.0,0.0,0.0,2.8861,4.2502,4.5141,96.8619
51.0,49.0,0.0,0.0,0.0,0.0,0.0,2.8869,4.1323,4.6438,96.9782
37.0,53.5,0.0,0.0,9.5,0.0,0.0,2.9996,4.233,4.7781,97.0449
49.5,34.9,15.6,0.0,0.0,0.0,0.0,3.0147,4.0809,4.8106,101.4643
49.8,42.2,8.0,0.0,0.0,0.0,0.0,2.9687,4.1016,4.7488,100.0809
48.5,36.5,15.0,0.0,0.0,0.0,0.0,2.9459,4.0916,4.7596,100.8072
49.5,45.5,0.0,0.0,0.0,5.0,0.0,2.9232,4.1002,4.7094,97.3744
49.5,40.5,0.0,0.0,0.0,10.0,0.0,2.9558,4.0885,4.7593,97.6456
49.5,35.5,0.0,0.0,0.0,15.0,0.0,2.9837,4.0924,4.8262,98.4485
49.5,30.5,0.0,0.0,0.0,20.0,0.0,3.0113,4.0797,4.8933,99.3623
49.5,45.5,0.0,0.0,0.0,5.0,0.0,2.9232,4.1002,4.7094,97.3744
49.5,40.5,0.0,0.0,0.0,10.0,0.0,2.9558,4.0885,4.7593,97.6456
50.3,29.7,20.0,0.0,0.0,0.0,0.0,3.0503,4.0909,4.8699,103.222
50.3,29.7,20.0,0.0,0.0,0.0,0.0,3.0503,4.0909,4.8699,103.222
50.3,29.7,20.0,0.0,0.0,0.0,0.0,3.0503,4.0909,4.8699,103.222
50.3,29.7,20.0,0.0,0.0,0.0,0.0,3.0503,4.0909,4.8699,103.222
50.3,29.7,20.0,0.0,0.0,0.0,0.0,3.0503,4.0909,4.8699,103.222
50.3,29.7,20.0,0.0,0.0,0.0,0.0,3.0503,4.0909,4.8699,103.222
50.3,29.7,20.0,0.0,0.0,0.0,0.0,3.0503,4.0909,4.8699,103.222
50.3,29.7,20.0,0.0,0.0,0.0,0.0,3.0503,4.0909,4.8699,103.222
50.3,29.7,20.0,0.0,0.0,0.0,0.0,3.0503,4.0909,4.8699,103.222
50.3,29.7,20.0,0.0,0.0,0.0,0.0,3.0503,4.0909,4.8699,103.222
50.3,29.7,20.0,0.0,0.0,0.0,0.0,3.0503,4.0909,4.8699,103.222
50.3,29.7,20.0,0.0,0.0,0.0,0.0,3.0503,4.0909,4.8699,103.222
50.3,29.7,20.0,0.0,0.0,0.0,0.0,3.0503,4.0909,4.8699,103.222
50.3,29.7,20.0,0.0,0.0,0.0,0.0,3.0503,4.0909,4.8699,103.222
50.3,29.7,20.0,0.0,0.0,0.0,0.0,3.0503,4.0909,4.8699,103.222
50.3,29.7,20.0,0.0,0.0,0.0,0.0,3.0503,4.0909,4.8699,103.222
50.3,29.7,20.0,0.0,0.0,0.0,0.0,3.0503,4.0909,4.8699,103.222
50.3,29.7,20.0,0.0,0.0,0.0,0.0,3.0503,4.0909,4.8699,103.222
50.3,29.7,20.0,0.0,0.0,0.0,0.0,3.0503,4.0909,4.8699,103.222
50.3,29.7,20.0,0.0,0.0,0.0,0.0,3.0503,4.0909,4.8699,103.222
50.3,29.7,20.0,0.0,0.0,0.0,0.0,3.0503,4.0909,4.8699,103.222
50.3,29.7,20.0,0.0,0.0,0.0,0.0,3.0503,4.0909,4.8699,103.222
50.3,29.7,20.0,0.0,0.0,0.0,0.0,3.0503,4.0909,4.8699,103.222
50.3,29.7,20.0,0.0,0.0,0.0,0.0,3.0503,4.0909,4.8699,103.222
50.3,29.7,20.0,0.0,0.0,0.0,0.0,3.0503,4.0909,4.8699,103.222
50.3,29.7,20.0,0.0,0.0,0.0,0.0,3.0503,4.0909,4.8699,103.222
50.3,29.7,20.0,0.0,0.0,0.0,0.0,3.0503,4.0909,4.8699,103.222
50.3,29.7,20.0,0.0,0.0,0.0,0.0,3.0503,4.0909,4.8699,103.222
50.3,29.7,20.0,0.0,0.0,0.0,0.0,3.0503,4.0909,4.8699,103.222
50.3,29.7,20.0,0.0,0.0,0.0,0.0,3.0503,4.0909,4.8699,103.222
50.3,29.7,20.0,0.0,0.0,0.0,0.0,3.0503,4.0909,4.8699,103.222
50.3,29.7,20.0,0.0,0.0,0.0,0.0,3.0503,4.0909,4.8699,103.222
50.0,50.0,0.0,0.0,0.0,0.0,0.0,2.9886,4.1187,4.542,97.4554
50.6,49.4,0.0,0.0,0.0,0.0,0.0,2.8833,4.1485,4.6254,96.9078
49.0,50.0,0.0,1.0,0.0,0.0,0.0,2.9096,4.1233,4.5359,97.8291
46.0,50.0,0.0,4.0,0.0,0.0,0.0,2.8746,4.1054,4.6574,97.228
45.0,50.0,0.0,5.0,0.0,0.0,0.0,2.8784,4.1069,4.6766,97.3881
45.0,50.0,0.0,0.0,5.0,0.0,0.0,2.9007,4.1296,4.6655,97.8751
42.5,50.0,0.0,0.0,7.5,0.0,0.0,2.8982,4.165,4.6081,95.4852
40.0,50.0,0.0,0.0,10.0,0.0,0.0,2.8869,4.1841,4.6113,95.4486
50.0,47.0,0.0,0.0,0.0,3.0,0.0,2.9398,4.1129,4.6859,98.0871
50.0,45.0,0.0,0.0,0.0,5.0,0.0,2.9522,4.1105,4.7096,98.4007
50.0,40.0,0.0,0.0,0.0,10.0,0.0,2.992,4.0913,4.7857,100.4101
50.0,35.0,0.0,0.0,0.0,15.0,0.0,3.0497,4.093,4.8607,102.0693
50.0,32.0,0.0,0.0,0.0,18.0,0.0,3.0729,4.0857,4.9277,102.2295
50.0,30.0,0.0,0.0,0.0,20.0,0.0,3.0758,4.0808,4.9321,103.751
50.0,38.0,12.0,0.0,0.0,0.0,0.0,2.9869,4.1049,4.7857,101.0797
50.0,35.0,15.0,0.0,0.0,0.0,0.0,3.0517,4.0996,4.8295,101.637
50.0,32.0,18.0,0.0,0.0,0.0,0.0,3.0528,4.0896,4.8782,102.49
50.0,30.0,20.0,0.0,0.0,0.0,0.0,3.0847,4.0793,4.888,102.6912
50.0,50.0,0.0,0.0,0.0,0.0,0.0,2.9886,4.1187,4.542,97.4554
50.0,50.0,0.0,0.0,0.0,0.0,0.0,2.9886,4.1187,4.542,97.4554
50.0,50.0,0.0,0.0,0.0,0.0,0.0,2.9886,4.1187,4.542,97.4554
50.0,50.0,0.0,0.0,0.0,0.0,0.0,2.9886,4.1187,4.542,97.4554
47.0,53.0,0.0,0.0,0.0,0.0,0.0,2.8951,4.108,4.6648,98.372
50.0,50.0,0.0,0.0,0.0,0.0,0.0,2.9886,4.1187,4.542,97.4554
50.7,49.3,0.0,0.0,0.0,0.0,0.0,2.8861,4.2502,4.5141,96.8619
51.7,48.3,0.0,0.0,0.0,0.0,0.0,2.8766,4.1245,4.6325,96.9341
47.0,53.0,0.0,0.0,0.0,0.0,0.0,2.8951,4.108,4.6648,98.372
50.0,50.0,0.0,0.0,0.0,0.0,0.0,2.9886,4.1187,4.542,97.4554
50.7,49.3,0.0,0.0,0.0,0.0,0.0,2.8861,4.2502,4.5141,96.8619
51.7,48.3,0.0,0.0,0.0,0.0,0.0,2.8766,4.1245,4.6325,96.9341
48.0,49.0,3.0,0.0,0.0,0.0,0.0,2.9066,4.0947,4.7858,99.6254
46.0,49.0,5.0,0.0,0.0,0.0,0.0,2.8889,4.0883,4.7952,100.6861
44.0,49.0,7.0,0.0,0.0,0.0,0.0,2.92,4.0992,4.7982,100.394
41.0,49.0,10.0,0.0,0.0,0.0,0.0,2.9341,4.1023,4.7904,100.1397
36.0,49.0,15.0,0.0,0.0,0.0,0.0,2.9835,4.1136,4.8298,99.9384
49.8,42.2,8.0,0.0,0.0,0.0,0.0,2.9687,4.1016,4.7488,100.0809
49.8,40.7,9.5,0.0,0.0,0.0,0.0,2.9731,4.0979,4.7603,100.044
49.8,39.2,11.0,0.0,0.0,0.0,0.0,2.9922,4.0973,4.7793,100.7789
49.8,35.2,15.0,0.0,0.0,0.0,0.0,3.0392,4.0967,4.8227,101.6871
49.8,30.2,20.0,0.0,0.0,0.0,0.0,3.0856,4.0793,4.8853,102.9834
49.8,25.2,25.0,0.0,0.0,0.0,0.0,3.0964,4.0788,4.9112,104.0377
47.5,47.5,5.0,0.0,0.0,0.0,0.0,2.8654,4.0233,4.6965,100.693
45.0,45.0,10.0,0.0,0.0,0.0,0.0,2.8942,4.0321,4.689,100.7897
42.5,42.5,15.0,0.0,0.0,0.0,0.0,2.916,4.0551,4.737,100.8538
40.0,40.0,20.0,0.0,0.0,0.0,0.0,2.9685,4.0721,4.7707,101.3
45.0,50.0,5.0,0.0,0.0,0.0,0.0,2.8615,4.0804,4.7328,100.7248
40.0,50.0,10.0,0.0,0.0,0.0,0.0,2.9125,4.1115,4.7562,100.5395
35.0,50.0,15.0,0.0,0.0,0.0,0.0,2.9866,4.1169,4.799,100.4946
30.0,50.0,20.0,0.0,0.0,0.0,0.0,3.0922,4.1342,4.86,101.1995
50.0,45.0,5.0,0.0,0.0,0.0,0.0,2.8987,4.1288,4.735,100.0818
50.0,40.0,10.0,0.0,0.0,0.0,0.0,2.9655,4.1085,4.7882,100.7828
50.0,35.0,15.0,0.0,0.0,0.0,0.0,3.0517,4.0996,4.8295,101.637
50.0,30.0,20.0,0.0,0.0,0.0,0.0,3.0847,4.0793,4.888,102.6912
50.0,30.0,0.0,0.0,0.0,20.0,0.0,3.0758,4.0808,4.9321,103.751
50.0,30.0,20.0,0.0,0.0,0.0,0.0,3.0847,4.0793,4.888,102.6912
50.0,40.5,9.5,0.0,0.0,0.0,0.0,2.9631,4.106,4.7642,100.072
50.0,35.0,15.0,0.0,0.0,0.0,0.0,3.0517,4.0996,4.8295,101.637
50.0,30.0,20.0,0.0,0.0,0.0,0.0,3.0847,4.0793,4.888,102.6912
45.0,50.0,0.0,0.0,5.0,0.0,0.0,2.9007,4.1296,4.6655,97.8751
42.5,50.0,0.0,0.0,7.5,0.0,0.0,2.8982,4.165,4.6081,95.4852
40.0,50.0,0.0,0.0,10.0,0.0,0.0,2.8869,4.1841,4.6113,95.4486
50.0,50.0,0.0,0.0,0.0,0.0,0.0,2.9886,4.1187,4.542,97.4554
50.0,50.0,0.0,0.0,0.0,0.0,0.0,2.9886,4.1187,4.542,97.4554
50.0,50.0,0.0,0.0,0.0,0.0,0.0,2.9886,4.1187,4.542,97.4554
50.0,50.0,0.0,0.0,0.0,0.0,0.0,2.9886,4.1187,4.542,97.4554
50.0,50.0,0.0,0.0,0.0,0.0,0.0,2.9886,4.1187,4.542,97.4554
49.0,33.0,0.0,0.0,0.0,18.0,0.0,3.1402,4.1042,4.9755,102.0702
50.0,30.0,0.0,0.0,0.0,20.0,0.0,3.0758,4.0808,4.9321,103.751
50.0,45.0,0.0,0.0,0.0,5.0,0.0,2.9522,4.1105,4.7096,98.4007
50.0,46.0,0.0,0.0,0.0,4.0,0.0,2.944,4.1097,4.6973,98.1021
50.0,45.0,0.0,0.0,0.0,5.0,0.0,2.9522,4.1105,4.7096,98.4007
50.0,40.0,0.0,0.0,0.0,10.0,0.0,2.992,4.0913,4.7857,100.4101
50.0,38.0,0.0,0.0,0.0,12.0,0.0,2.9936,4.0915,4.8146,101.0422
50.0,35.0,0.0,0.0,0.0,15.0,0.0,3.0497,4.093,4.8607,102.0693
50.0,30.0,0.0,0.0,0.0,20.0,0.0,3.0758,4.0808,4.9321,103.751
45.0,50.0,0.0,0.0,5.0,0.0,0.0,2.9007,4.1296,4.6655,97.8751
37.5,50.0,0.0,0.0,12.5,0.0,0.0,2.8928,4.1701,4.6791,99.1697
37.5,50.0,0.0,0.0,12.5,0.0,0.0,2.8928,4.1701,4.6791,99.1697
35.0,50.0,0.0,0.0,15.0,0.0,0.0,2.891,4.1911,4.6701,97.3518
42.0,50.0,0.0,0.0,6.0,0.0,2.0,2.8985,4.1691,4.6188,96.0784
42.0,50.0,0.0,0.0,6.0,0.0,2.0,2.8985,4.1691,4.6188,96.0784
42.0,50.0,0.0,0.0,6.0,0.0,2.0,2.8985,4.1691,4.6188,96.0784
42.0,50.0,0.0,0.0,6.0,0.0,2.0,2.8985,4.1691,4.6188,96.0784
42.0,50.0,0.0,0.0,6.0,0.0,2.0,2.8985,4.1691,4.6188,96.0784
42.0,50.0,0.0,0.0,6.0,0.0,2.0,2.8985,4.1691,4.6188,96.0784
42.0,50.0,0.0,0.0,6.0,0.0,2.0,2.8985,4.1691,4.6188,96.0784
42.0,50.0,0.0,0.0,6.0,0.0,2.0,2.8985,4.1691,4.6188,96.0784
42.0,50.0,0.0,0.0,6.0,0.0,2.0,2.8985,4.1691,4.6188,96.0784
42.0,50.0,0.0,0.0,6.0,0.0,2.0,2.8985,4.1691,4.6188,96.0784
42.0,50.0,0.0,0.0,6.0,0.0,2.0,2.8985,4.1691,4.6188,96.0784
42.0,50.0,0.0,0.0,6.0,0.0,2.0,2.8985,4.1691,4.6188,96.0784
