Ni,Ti,Hf,Co,Cu,Zr,Fe,a
25.0,16.67,16.67,10.0,15.0,16.67,0.0,3.1522
50.0,35.0,0.0,0.0,0.0,15.0,0.0,3.086
47.0,35.0,0.0,0.0,3.0,15.0,0.0,3.0905
45.0,35.0,0.0,0.0,5.0,15.0,0.0,3.0935
40.0,35.0,0.0,0.0,10.0,15.0,0.0,3.1008
35.0,35.0,0.0,0.0,15.0,15.0,0.0,3.1079
25.0,20.0,15.0,0.0,25.0,15.0,0.0,3.1662
25.0,16.67,16.67,0.0,25.0,16.67,0.0,3.1766
25.0,16.67,16.67,0.0,25.0,16.67,0.0,3.1766
35.0,25.0,12.5,0.0,15.0,12.5,0.0,3.137
40.0,40.0,0.0,5.0,5.0,10.0,0.0,3.0677
30.0,30.0,0.0,10.0,10.0,20.0,0.0,3.1099
16.67,25.0,0.0,16.67,16.67,25.0,0.0,3.1331
30.0,30.0,10.0,10.0,10.0,10.0,0.0,3.1029
20.0,20.0,15.0,15.0,15.0,15.0,0.0,3.1362
16.67,16.67,16.67,16.67,16.67,16.67,0.0,3.147
50.1,49.9,0.0,0.0,0.0,0.0,0.0,3.0147
50.1,49.9,0.0,0.0,0.0,0.0,0.0,3.0147
50.1,49.9,0.0,0.0,0.0,0.0,0.0,3.0147
50.0,50.0,0.0,0.0,0.0,0.0,0.0,3.0149
49.75,50.25,0.0,0.0,0.0,0.0,0.0,3.0154
50.5,49.5,0.0,0.0,0.0,0.0,0.0,3.014
50.0,50.0,0.0,0.0,0.0,0.0,0.0,3.0149
50.0,50.0,0.0,0.0,0.0,0.0,0.0,3.0149
50.0,50.0,0.0,0.0,0.0,0.0,0.0,3.0149
50.7,49.3,0.0,0.0,0.0,0.0,0.0,3.0136
50.7,49.3,0.0,0.0,0.0,0.0,0.0,3.0136
50.7,49.3,0.0,0.0,0.0,0.0,0.0,3.0136
50.7,49.3,0.0,0.0,0.0,0.0,0.0,3.0136
50.7,49.3,0.0,0.0,0.0,0.0,0.0,3.0136
50.7,49.3,0.0,0.0,0.0,0.0,0.0,3.0136
50.7,49.3,0.0,0.0,0.0,0.0,0.0,3.0136
50.7,49.3,0.0,0.0,0.0,0.0,0.0,3.0136
50.1,49.9,0.0,0.0,0.0,0.0,0.0,3.0147
50.1,49.9,0.0,0.0,0.0,0.0,0.0,3.0147
50.1,49.9,0.0,0.0,0.0,0.0,0.0,3.0147
37.0,53.5,0.0,0.0,9.5,0.0,0.0,3.0367
49.5,34.9,15.6,0.0,0.0,0.0,0.0,3.0824
48.5,36.5,15.0,0.0,0.0,0.0,0.0,3.0826
50.3,29.7,20.0,0.0,0.0,0.0,0.0,3.0921
50.3,29.7,20.0,0.0,0.0,0.0,0.0,3.0921
50.3,29.7,20.0,0.0,0.0,0.0,0.0,3.0921
50.3,29.7,20.0,0.0,0.0,0.0,0.0,3.0921
50.3,29.7,20.0,0.0,0.0,0.0,0.0,3.0921
50.3,29.7,20.0,0.0,0.0,0.0,0.0,3.0921
50.3,29.7,20.0,0.0,0.0,0.0,0.0,3.0921
50.3,29.7,20.0,0.0,0.0,0.0,0.0,3.0921
50.3,29.7,20.0,0.0,0.0,0.0,0.0,3.0921
50.3,29.7,20.0,0.0,0.0,0.0,0.0,3.0921
50.3,29.7,20.0,0.0,0.0,0.0,0.0,3.0921
50.3,29.7,20.0,0.0,0.0,0.0,0.0,3.0921
50.3,29.7,20.0,0.0,0.0,0.0,0.0,3.0921
50.3,29.7,20.0,0.0,0.0,0.0,0.0,3.0921
50.3,29.7,20.0,0.0,0.0,0.0,0.0,3.0921
50.3,29.7,20.0,0.0,0.0,0.0,0.0,3.0921
50.3,29.7,20.0,0.0,0.0,0.0,0.0,3.0921
50.3,29.7,20.0,0.0,0.0,0.0,0.0,3.0921
50.3,29.7,20.0,0.0,0.0,0.0,0.0,3.0921
50.3,29.7,20.0,0.0,0.0,0.0,0.0,3.0921
50.3,29.7,20.0,0.0,0.0,0.0,0.0,3.0921
50.3,29.7,20.0,0.0,0.0,0.0,0.0,3.0921
50.3,29.7,20.0,0.0,0.0,0.0,0.0,3.0921
50.3,29.7,20.0,0.0,0.0,0.0,0.0,3.0921
50.3,29.7,20.0,0.0,0.0,0.0,0.0,3.0921
50.3,29.7,20.0,0.0,0.0,0.0,0.0,3.0921
50.3,29.7,20.0,0.0,0.0,0.0,0.0,3.0921
50.3,29.7,20.0,0.0,0.0,0.0,0.0,3.0921
50.3,29.7,20.0,0.0,0.0,0.0,0.0,3.0921
50.3,29.7,20.0,0.0,0.0,0.0,0.0,3.0921
50.3,29.7,20.0,0.0,0.0,0.0,0.0,3.0921
50.3,29.7,20.0,0.0,0.0,0.0,0.0,3.0921
50.3,29.7,20.0,0.0,0.0,0.0,0.0,3.0921
50.3,29.7,20.0,0.0,0.0,0.0,0.0,3.0921
50.0,50.0,0.0,0.0,0.0,0.0,0.0,3.0149
50.6,49.4,0.0,0.0,0.0,0.0,0.0,3.0138
49.0,50.0,0.0,1.0,0.0,0.0,0.0,3.0137
46.0,50.0,0.0,4.0,0.0,0.0,0.0,3.0103
45.0,50.0,0.0,5.0,0.0,0.0,0.0,3.0091
45.0,50.0,0.0,0.0,5.0,0.0,0.0,3.0224
42.5,50.0,0.0,0.0,7.5,0.0,0.0,3.0261
42.5,50.0,0.0,0.0,7.5,0.0,0.0,3.0261
